,item,95CI_Low,mean,95CI_High
0,watching your favorite movie,1.0799572487244167,1.3,1.5200427512755834
1,watching a rival sports team lose badly,1.921795562748879,2.5,3.078204437251121
2,cleaning up litter in a rough neighborhood,6.5826018076806685,7.05,7.517398192319331
3,running into a burning building to save a precious antique,9.690697594559174,9.9,10.0
4,writing letters to the local government to support a homeless shelter,2.440671691851112,2.8,3.1593283081488877
5,mowing the lawn,5.640027275966382,6.2,6.759972724033618
6,helping someone change their flat tire on the road,6.110318058111353,6.6,7.089681941888646
7,sitting in a chair,0.4209722431203176,0.65,0.8790277568796825
8,volunteering at a voting location,3.88320706398905,4.5,5.11679293601095
9,taking a day off to go to the spa,2.1209722431203177,2.35,2.5790277568796824
10,running a marathon for fitness,8.920972243120318,9.15,9.379027756879683
11,donating money to charity,1.1778903944675434,1.5,1.8221096055324566
12,painting a wall,4.817432459635527,5.3,5.7825675403644725
13,running a marathon for charity,9.164764404081044,9.4,9.635235595918957
14,winning millions in the lottery,0.12097224312031754,0.35,0.5790277568796824
