,item,95CI_Low,mean,95CI_High
0,sitting in a chair,4.451094936231859,4.75,5.048905063768141
1,mowing the lawn,5.075208641421532,5.35,5.6247913585784675
2,donating money to charity,8.607930940219676,8.8,8.992069059780325
3,cleaning up litter in a rough neighborhood,7.357088139060324,7.7,8.042911860939675
4,painting a wall,4.911896410329514,5.2,5.488103589670486
5,watching your favorite movie,4.666942397708501,4.95,5.233057602291499
6,taking a day off to go to the spa,3.678544069530162,3.85,4.021455930469838
7,running a marathon for fitness,6.120013637983192,6.4,6.679986362016809
8,volunteering at a voting location,7.320013637983191,7.6,7.879986362016808
9,watching a rival sports team lose badly,2.678544069530162,2.85,3.021455930469838
10,running a marathon for charity,8.785260262978362,9.0,9.214739737021638
11,helping someone change their flat tire on the road,7.336046391838761,7.65,7.96395360816124
12,winning millions in the lottery,3.6632697543342645,4.15,4.636730245665736
13,running into a burning building to save a precious antique,8.196517476739096,9.0,9.803482523260904
14,writing letters to the local government to support a homeless shelter,8.259913675274595,8.5,8.740086324725405
