,item,95CI_Low,mean,95CI_High
0,hiking in a beautiful place,7.266942397708501,7.55,7.833057602291499
1,having impure thoughts about a family member,1.6414191146828963,1.9,2.158580885317104
2,sitting in a chair,0.0,5.0,10.0
3,forgetting my mom's birthday,2.5012544689812897,2.85,3.1987455310187105
4,working as a suicide bomber,0.0,0.0,10.0
5,forgetting my own birthday,2.5982587383695477,3.0,3.4017412616304523
6,dropping and breaking my phone,3.259913675274595,3.5,3.740086324725405
7,teaching English to refugees,8.542079143686559,8.75,8.957920856313441
8,watching a rival sports team lose badly,3.392539487014917,3.7,4.007460512985083
9,revealing state secrets for personal gain,0.0,0.05,0.15465120272041313
10,falling down the stairs,3.128786389542608,3.45,3.7712136104573926
11,writing letters to the local government to support a homeless shelter,8.607930940219676,8.8,8.992069059780325
12,being a pen pal for a child in a developing country,8.364764404081043,8.6,8.835235595918956
13,reading stories to neighborhood children,8.164764404081044,8.4,8.635235595918957
14,carrying groceries for an elderly person,8.042079143686559,8.25,8.457920856313441
15,helping someone change their flat tire on the road,7.607930940219676,7.8,7.992069059780324
16,pushing a girl off a bridge,0.0,0.0,10.0
17,winning millions in the lottery,4.711117123077122,4.95,5.188882876922879
18,opening a door,6.320013637983191,6.6,6.879986362016808
19,thinking about the day's plans,4.9559482051647565,5.1,5.244051794835243
20,breaking someone's heart,1.6669423977085014,1.95,2.2330576022914985
21,losing my wallet,3.1438944323598186,3.5,3.8561055676401814
22,running a marathon for fitness,6.865586194771405,7.05,7.234413805228595
23,watching your favorite movie,5.357088139060324,5.7,6.042911860939676
24,stealing someone's wallet,0.6669423977085014,0.95,1.2330576022914985
25,punching my friend in the face,1.375208641421532,1.65,1.9247913585784677
26,rescuing refugees from a sinking life raft,9.542079143686559,9.75,9.957920856313441
27,cheating on my partner,0.7655861947714052,0.95,1.1344138052285948
28,running a marathon for charity,8.607930940219676,8.8,8.992069059780325
29,volunteering at a voting location,7.215926029618668,7.5,7.784073970381332
30,paying taxes,6.628786389542608,6.95,7.271213610457393
31,listening to local news,5.032651183438211,5.3,5.567348816561789
32,lying on my taxes to get a higher return,0.9118964103295137,1.2,1.4881035896704862
33,running into a burning building to save a precious antique,8.920972243120318,9.15,9.379027756879683
34,thinking about harming myself,1.3926243030471361,2.0,2.6073756969528636
35,cleaning up litter in a rough neighborhood,7.364764404081043,7.6,7.835235595918956
36,burning down my neighborhood,0.0,0.0,10.0
37,serving on a jury,7.320013637983191,7.6,7.879986362016808
38,giving my employees a day off to go to the spa,6.08731590473285,6.6,7.1126840952671495
39,falling off a bridge,2.663617626955893,3.05,3.4363823730441068
40,going swing dancing,6.164764404081044,6.4,6.635235595918957
41,kicking a baby,0.0,0.0,10.0
42,mowing the lawn,5.6906975945591745,5.9,6.109302405440826
43,taking candy from a baby,0.7559482051647569,0.9,1.044051794835243
44,donating money to charity,8.607930940219676,8.8,8.992069059780325
45,taking a day off to go to the spa,4.563617626955893,4.95,5.336382373044107
46,painting a wall,5.420972243120318,5.65,5.879027756879683
47,buying carbon credits,6.620972243120317,6.85,7.079027756879682
48,punching myself in the face,2.682838229365793,3.2,3.7171617706342075
49,losing borrowed book,3.266942397708501,3.55,3.8330576022914986
50,walking dogs for a local animal shelter,7.890697594559174,8.1,8.309302405440826
51,serving food to unhoused people in a soup kitchen,8.945348797279587,9.05,9.154651202720414
